Date,Close,Change %
2000-07-19,1481.96,1.84%
2000-07-20,1495.47,2.77%
2000-07-21,1480.11,1.71%
2000-07-24,1464.25,0.62%
2000-07-25,1474.47,1.33%
2000-07-26,1452.43,-0.19%
2000-07-27,1449.62,-0.38%
2000-07-28,1419.89,-2.42%
2000-07-31,1430.83,-1.67%
2000-08-01,1438.1,-1.17%
2000-08-02,1438.7,-1.13%
2000-08-03,1452.56,-0.18%
2000-08-04,1462.93,0.53%
2000-08-07,1479.32,1.66%
2000-08-08,1482.87,1.90%
2000-08-09,1472.87,1.22%
2000-08-10,1460.28,0.35%
2000-08-11,1471.84,1.15%
2000-08-14,1491.55,2.50%
2000-08-15,1484.43,2.01%
2000-08-16,1479.85,1.70%
2000-08-17,1496.05,2.81%
2000-08-18,1491.7,2.51%
2000-08-21,1499.48,3.05%
2000-08-22,1498.13,2.95%
2000-08-23,1505.97,3.49%
2000-08-24,1508.31,3.65%
2000-08-25,1506.46,3.52%
2000-08-28,1514.09,4.05%
2000-08-29,1509.89,3.76%
2000-08-30,1502.59,3.26%
2000-08-31,1517.68,4.30%
2000-09-01,1520.77,4.51%
2000-09-05,1507.08,3.57%
2000-09-06,1492.26,2.55%
2000-09-07,1502.41,3.25%
2000-09-08,1494.64,2.71%
2000-09-11,1489.26,2.34%
2000-09-12,1481.99,1.84%
2000-09-13,1484.91,2.04%
2000-09-14,1480.87,1.77%
2000-09-15,1465.79,0.73%
2000-09-18,1444.51,-0.73%
2000-09-19,1459.9,0.33%
2000-09-20,1451.34,-0.26%
2000-09-21,1449.05,-0.42%
2000-09-22,1448.71,-0.44%
2000-09-25,1439.03,-1.11%
2000-09-26,1427.34,-1.91%
2000-09-27,1426.57,-1.97%
2000-09-28,1458.34,0.22%
2000-09-29,1436.51,-1.28%
2000-10-02,1436.23,-1.30%
2000-10-03,1426.18,-1.99%
2000-10-04,1434.32,-1.43%
2000-10-05,1436.21,-1.30%
2000-10-06,1408.99,-3.17%
2000-10-09,1402.03,-3.65%
2000-10-10,1385.94,-4.76%
2000-10-11,1364.55,-6.23%
2000-10-12,1329.69,-8.62%
2000-10-13,1374.12,-5.57%
2000-10-16,1374.62,-5.54%
2000-10-17,1349.97,-7.23%
2000-10-18,1342.11,-7.77%
2000-10-19,1388.76,-4.56%
2000-10-20,1396.9,-4.00%
2000-10-23,1395.78,-4.08%
2000-10-24,1398.13,-3.92%
2000-10-25,1364.9,-6.20%
2000-10-26,1364.44,-6.24%
2000-10-27,1379.56,-5.20%
2000-10-30,1398.65,-3.88%
2000-10-31,1429.39,-1.77%
2000-11-01,1421.22,-2.33%
2000-11-02,1428.32,-1.85%
2000-11-03,1426.69,-1.96%
2000-11-06,1432.19,-1.58%
2000-11-07,1431.87,-1.60%
2000-11-08,1409.28,-3.15%
2000-11-09,1400.14,-3.78%
2000-11-10,1365.97,-6.13%
2000-11-13,1351.26,-7.14%
2000-11-14,1382.95,-4.96%
2000-11-15,1389.99,-4.48%
2000-11-16,1372.32,-5.69%
2000-11-17,1367.72,-6.01%
2000-11-20,1342.63,-7.73%
2000-11-21,1347.35,-7.41%
2000-11-22,1322.36,-9.13%
2000-11-24,1341.77,-7.79%
2000-11-27,1348.97,-7.30%
2000-11-28,1336.09,-8.18%
2000-11-29,1341.97,-7.78%
2000-11-30,1314.95,-9.64%
2000-12-01,1315.18,-9.62%
2000-12-04,1325.06,-8.94%
2000-12-05,1376.5,-5.41%
2000-12-06,1351.46,-7.13%
2000-12-07,1343.55,-7.67%
2000-12-08,1369.73,-5.87%
2000-12-11,1380.23,-5.15%
2000-12-12,1371.18,-5.77%
2000-12-13,1359.99,-6.54%
2000-12-14,1340.93,-7.85%
2000-12-15,1312.1,-9.83%
2000-12-18,1322.74,-9.10%
2000-12-19,1305.57,-10.28%
2000-12-20,1264.74,-13.09%
2000-12-21,1274.87,-12.39%
2000-12-22,1305.9,-10.26%
2000-12-26,1315.21,-9.62%
2000-12-27,1328.92,-8.68%
2000-12-28,1334.21,-8.31%
2000-12-29,1320.41,-9.26%
2001-01-02,1283.27,-11.81%
2001-01-03,1347.56,-7.40%
2001-01-04,1333.35,-8.37%
2001-01-05,1298.34,-10.78%
2001-01-08,1295.86,-10.95%
2001-01-09,1300.8,-10.61%
2001-01-10,1313.27,-9.75%
2001-01-11,1326.82,-8.82%
2001-01-12,1318.55,-9.39%
2001-01-16,1326.65,-8.83%
2001-01-17,1329.47,-8.64%
2001-01-18,1347.97,-7.37%
2001-01-19,1342.55,-7.74%
2001-01-22,1342.9,-7.72%
2001-01-23,1360.4,-6.51%
2001-01-24,1364.32,-6.24%
2001-01-25,1357.51,-6.71%
2001-01-26,1354.94,-6.89%
2001-01-29,1364.12,-6.26%
2001-01-30,1373.73,-5.60%
2001-01-31,1366.01,-6.13%
2001-02-01,1373.5,-5.61%
2001-02-02,1349.47,-7.26%
2001-02-05,1354.31,-6.93%
2001-02-06,1352.26,-7.07%
2001-02-07,1340.91,-7.85%
2001-02-08,1332.53,-8.43%
2001-02-09,1314.76,-9.65%
2001-02-12,1330.31,-8.58%
2001-02-13,1318.8,-9.37%
2001-02-14,1315.92,-9.57%
2001-02-15,1326.61,-8.83%
2001-02-16,1301.47,-10.56%
2001-02-20,1278.96,-12.11%
2001-02-21,1255.27,-13.74%
2001-02-22,1252.82,-13.91%
2001-02-23,1245.47,-14.41%
2001-02-26,1267.65,-12.89%
2001-02-27,1257.94,-13.55%
2001-02-28,1239.94,-14.79%
2001-03-01,1241.22,-14.70%
2001-03-02,1234.18,-15.19%
2001-03-05,1241.41,-14.69%
2001-03-06,1253.8,-13.84%
2001-03-07,1261.89,-13.28%
2001-03-08,1264.76,-13.09%
2001-03-09,1233.42,-15.24%
2001-03-12,1180.18,-18.90%
2001-03-13,1197.69,-17.69%
2001-03-14,1166.71,-19.82%
2001-03-15,1173.56,-19.35%
2001-03-16,1150.55,-20.93%
2001-03-19,1170.85,-19.54%
2001-03-20,1142.62,-21.48%
2001-03-21,1122.14,-22.89%
2001-03-22,1117.58,-23.20%
2001-03-23,1139.85,-21.67%
2001-03-26,1152.69,-20.79%
2001-03-27,1182.17,-18.76%
2001-03-28,1153.25,-20.75%
2001-03-29,1147.95,-21.11%
2001-03-30,1160.33,-20.26%
2001-04-02,1145.86,-21.26%
2001-04-03,1106.44,-23.96%
2001-04-04,1102.81,-24.21%
2001-04-05,1151.47,-20.87%
2001-04-06,1128.43,-22.45%
2001-04-09,1137.59,-21.82%
2001-04-10,1168.38,-19.71%
2001-04-11,1166.46,-19.84%
2001-04-12,1183.5,-18.67%
2001-04-16,1179.67,-18.93%
2001-04-17,1191.54,-18.12%
2001-04-18,1238.19,-14.91%
2001-04-19,1253.69,-13.85%
2001-04-20,1242.95,-14.58%
2001-04-23,1224.36,-15.86%
2001-04-24,1209.47,-16.88%
2001-04-25,1228.7,-15.56%
2001-04-26,1234.52,-15.16%
2001-04-27,1253.07,-13.89%
2001-04-30,1249.49,-14.13%
2001-05-01,1266.45,-12.97%
2001-05-02,1267.41,-12.90%
2001-05-03,1248.58,-14.20%
2001-05-04,1266.59,-12.96%
2001-05-07,1263.48,-13.17%
2001-05-08,1261.12,-13.34%
2001-05-09,1255.45,-13.72%
2001-05-10,1255.19,-13.74%
2001-05-11,1245.65,-14.40%
2001-05-14,1248.92,-14.17%
2001-05-15,1249.43,-14.14%
2001-05-16,1284.97,-11.70%
2001-05-17,1288.49,-11.45%
2001-05-18,1291.96,-11.22%
2001-05-21,1312.83,-9.78%
2001-05-22,1309.36,-10.02%
2001-05-23,1289.31,-11.40%
2001-05-24,1293.17,-11.13%
2001-05-25,1277.89,-12.18%
2001-05-29,1267.94,-12.87%
2001-05-30,1248.08,-14.23%
2001-05-31,1255.84,-13.70%
2001-06-01,1260.67,-13.37%
2001-06-04,1267.11,-12.92%
2001-06-05,1283.56,-11.79%
2001-06-06,1270.03,-12.72%
2001-06-07,1276.95,-12.25%
2001-06-08,1264.97,-13.07%
2001-06-11,1254.38,-13.80%
2001-06-12,1255.85,-13.70%
2001-06-13,1241.59,-14.68%
2001-06-14,1219.87,-16.17%
2001-06-15,1214.36,-16.55%
2001-06-18,1208.43,-16.96%
2001-06-19,1212.58,-16.67%
2001-06-20,1223.14,-15.95%
2001-06-21,1237.03,-14.99%
2001-06-22,1225.35,-15.79%
2001-06-25,1218.61,-16.26%
2001-06-26,1216.76,-16.38%
2001-06-27,1211.07,-16.77%
2001-06-28,1226.18,-15.74%
2001-06-29,1226.99,-15.68%
2001-07-02,1236.72,-15.01%
2001-07-03,1234.45,-15.17%
2001-07-05,1219.25,-16.21%
2001-07-06,1190.59,-18.18%
2001-07-09,1198.78,-17.62%
2001-07-10,1181.52,-18.81%
2001-07-11,1180.18,-18.90%
2001-07-12,1208.13,-16.98%
2001-07-13,1215.68,-16.46%
2001-07-16,1202.45,-17.37%
2001-07-17,1214.44,-16.54%
2001-07-18,1207.71,-17.01%
2001-07-19,1215.02,-16.50%
2001-07-20,1210.85,-16.79%
2001-07-23,1191.03,-18.15%
2001-07-24,1171.65,-19.48%
2001-07-25,1190.49,-18.19%
2001-07-26,1202.93,-17.33%
2001-07-27,1205.82,-17.14%
2001-07-30,1204.52,-17.22%
2001-07-31,1211.23,-16.76%
2001-08-01,1215.93,-16.44%
2001-08-02,1220.75,-16.11%
2001-08-03,1214.35,-16.55%
2001-08-06,1200.48,-17.50%
2001-08-07,1204.4,-17.23%
2001-08-08,1183.53,-18.67%
2001-08-09,1183.43,-18.67%
2001-08-10,1190.16,-18.21%
2001-08-13,1191.29,-18.13%
2001-08-14,1186.73,-18.45%
2001-08-15,1178.02,-19.05%
2001-08-16,1181.66,-18.80%
2001-08-17,1161.97,-20.15%
2001-08-20,1171.41,-19.50%
2001-08-21,1157.26,-20.47%
2001-08-22,1165.31,-19.92%
2001-08-23,1162.09,-20.14%
2001-08-24,1184.93,-18.57%
2001-08-27,1179.21,-18.96%
2001-08-28,1161.51,-20.18%
2001-08-29,1148.56,-21.07%
2001-08-30,1129.03,-22.41%
2001-08-31,1133.58,-22.10%
2001-09-04,1132.94,-22.14%
2001-09-05,1131.74,-22.23%
2001-09-06,1106.4,-23.97%
2001-09-07,1085.78,-25.38%
2001-09-10,1092.54,-24.92%
2001-09-11,1092.54,-24.92%
2001-09-17,1038.77,-28.62%
2001-09-18,1032.74,-29.03%
2001-09-19,1016.1,-30.17%
2001-09-20,984.54,-32.34%
2001-09-21,965.8,-33.63%
2001-09-24,1003.45,-31.04%
2001-09-25,1012.27,-30.44%
2001-09-26,1007.04,-30.80%
2001-09-27,1018.61,-30.00%
2001-09-28,1040.94,-28.47%
2001-10-01,1038.55,-28.63%
2001-10-02,1051.33,-27.75%
2001-10-03,1072.28,-26.31%
2001-10-04,1069.62,-26.50%
2001-10-05,1071.38,-26.37%
2001-10-08,1062.44,-26.99%
2001-10-09,1056.75,-27.38%
2001-10-10,1080.99,-25.71%
2001-10-11,1097.43,-24.58%
2001-10-12,1091.65,-24.98%
2001-10-15,1089.98,-25.10%
2001-10-16,1097.54,-24.58%
2001-10-17,1077.09,-25.98%
2001-10-18,1068.61,-26.56%
2001-10-19,1073.48,-26.23%
2001-10-22,1089.9,-25.10%
2001-10-23,1084.78,-25.45%
2001-10-24,1085.2,-25.42%
2001-10-25,1100.09,-24.40%
2001-10-26,1104.61,-24.09%
2001-10-29,1078.3,-25.90%
2001-10-30,1059.79,-27.17%
2001-10-31,1059.78,-27.17%
2001-11-01,1084.1,-25.50%
2001-11-02,1087.2,-25.29%
2001-11-05,1102.84,-24.21%
2001-11-06,1118.86,-23.11%
2001-11-07,1115.8,-23.32%
2001-11-08,1118.54,-23.13%
2001-11-09,1120.31,-23.01%
2001-11-12,1118.33,-23.15%
2001-11-13,1139.09,-21.72%
2001-11-14,1141.21,-21.58%
2001-11-15,1142.24,-21.50%
2001-11-16,1138.65,-21.75%
2001-11-19,1151.06,-20.90%
2001-11-20,1142.66,-21.48%
2001-11-21,1137.03,-21.86%
2001-11-23,1150.34,-20.95%
2001-11-26,1157.42,-20.46%
2001-11-27,1149.5,-21.01%
2001-11-28,1128.52,-22.45%
2001-11-29,1140.2,-21.64%
2001-11-30,1139.45,-21.70%
2001-12-03,1129.9,-22.35%
2001-12-04,1144.8,-21.33%
2001-12-05,1170.35,-19.57%
2001-12-06,1167.1,-19.80%
2001-12-07,1158.31,-20.40%
2001-12-10,1139.93,-21.66%
2001-12-11,1136.76,-21.88%
2001-12-12,1137.07,-21.86%
2001-12-13,1119.38,-23.08%
2001-12-14,1123.07,-22.82%
2001-12-17,1134.36,-22.05%
2001-12-18,1142.92,-21.46%
2001-12-19,1149.56,-21.00%
2001-12-20,1139.93,-21.66%
2001-12-21,1144.89,-21.32%
2001-12-24,1144.65,-21.34%
2001-12-26,1149.37,-21.01%
2001-12-27,1157.13,-20.48%
2001-12-28,1161.02,-20.21%
2001-12-31,1148.08,-21.10%
2002-01-02,1154.67,-20.65%
2002-01-03,1165.27,-19.92%
2002-01-04,1172.51,-19.42%
2002-01-07,1164.89,-19.95%
2002-01-08,1160.71,-20.24%
2002-01-09,1155.14,-20.62%
2002-01-10,1156.55,-20.52%
2002-01-11,1145.6,-21.27%
2002-01-14,1138.41,-21.77%
2002-01-15,1146.19,-21.23%
2002-01-16,1127.57,-22.51%
2002-01-17,1138.88,-21.74%
2002-01-18,1127.58,-22.51%
2002-01-22,1119.31,-23.08%
2002-01-23,1128.18,-22.47%
2002-01-24,1132.15,-22.20%
2002-01-25,1133.28,-22.12%
2002-01-28,1133.06,-22.14%
2002-01-29,1100.64,-24.36%
2002-01-30,1113.57,-23.47%
2002-01-31,1130.2,-22.33%
2002-02-01,1122.2,-22.88%
2002-02-04,1094.44,-24.79%
2002-02-05,1090.02,-25.09%
2002-02-06,1083.51,-25.54%
2002-02-07,1080.17,-25.77%
2002-02-08,1096.22,-24.67%
2002-02-11,1111.94,-23.59%
2002-02-12,1107.5,-23.89%
2002-02-13,1118.51,-23.14%
2002-02-14,1116.48,-23.27%
2002-02-15,1104.18,-24.12%
2002-02-19,1083.34,-25.55%
2002-02-20,1097.98,-24.55%
2002-02-21,1080.95,-25.72%
2002-02-22,1089.84,-25.11%
2002-02-25,1109.43,-23.76%
2002-02-26,1109.38,-23.76%
2002-02-27,1109.89,-23.73%
2002-02-28,1106.73,-23.94%
2002-03-01,1131.78,-22.22%
2002-03-04,1153.84,-20.71%
2002-03-05,1146.14,-21.24%
2002-03-06,1162.77,-20.09%
2002-03-07,1157.54,-20.45%
2002-03-08,1164.31,-19.99%
2002-03-11,1168.26,-19.72%
2002-03-12,1165.58,-19.90%
2002-03-13,1164.31,-19.99%
2002-03-14,1153.04,-20.76%
2002-03-15,1166.16,-19.86%
2002-03-18,1165.55,-19.90%
2002-03-19,1170.29,-19.58%
2002-03-20,1151.85,-20.84%
2002-03-21,1153.59,-20.72%
2002-03-22,1148.7,-21.06%
2002-03-25,1131.87,-22.22%
2002-03-26,1138.49,-21.76%
2002-03-27,1144.58,-21.34%
2002-03-28,1147.39,-21.15%
2002-04-01,1146.54,-21.21%
2002-04-02,1136.76,-21.88%
2002-04-03,1125.4,-22.66%
2002-04-04,1126.34,-22.60%
2002-04-05,1122.73,-22.85%
2002-04-08,1125.29,-22.67%
2002-04-09,1117.8,-23.18%
2002-04-10,1130.47,-22.31%
2002-04-11,1103.69,-24.15%
2002-04-12,1111.01,-23.65%
2002-04-15,1102.55,-24.23%
2002-04-16,1128.37,-22.46%
2002-04-17,1126.07,-22.62%
2002-04-18,1124.47,-22.73%
2002-04-19,1125.17,-22.68%
2002-04-22,1107.83,-23.87%
2002-04-23,1100.96,-24.34%
2002-04-24,1093.14,-24.88%
2002-04-25,1091.48,-24.99%
2002-04-26,1076.32,-26.03%
2002-04-29,1065.45,-26.78%
2002-04-30,1076.92,-25.99%
2002-05-01,1086.46,-25.34%
2002-05-02,1084.56,-25.47%
2002-05-03,1073.43,-26.23%
2002-05-06,1052.67,-27.66%
2002-05-07,1049.49,-27.88%
2002-05-08,1088.85,-25.17%
2002-05-09,1073.01,-26.26%
2002-05-10,1054.99,-27.50%
2002-05-13,1074.56,-26.16%
2002-05-14,1097.28,-24.59%
2002-05-15,1091.07,-25.02%
2002-05-16,1098.23,-24.53%
2002-05-17,1106.59,-23.95%
2002-05-20,1091.88,-24.97%
2002-05-21,1079.88,-25.79%
2002-05-22,1086.02,-25.37%
2002-05-23,1097.08,-24.61%
2002-05-24,1083.82,-25.52%
2002-05-28,1074.55,-26.16%
2002-05-29,1067.66,-26.63%
2002-05-30,1064.66,-26.84%
2002-05-31,1067.14,-26.67%
2002-06-03,1040.68,-28.48%
2002-06-04,1040.69,-28.48%
2002-06-05,1049.9,-27.85%
2002-06-06,1029.15,-29.28%
2002-06-07,1027.53,-29.39%
2002-06-10,1030.74,-29.17%
2002-06-11,1013.6,-30.34%
2002-06-12,1020.26,-29.89%
2002-06-13,1009.56,-30.62%
2002-06-14,1007.27,-30.78%
2002-06-17,1036.17,-28.79%
2002-06-18,1037.14,-28.73%
2002-06-19,1019.99,-29.91%
2002-06-20,1006.29,-30.85%
2002-06-21,989.14,-32.03%
2002-06-24,992.72,-31.78%
2002-06-25,976.14,-32.92%
2002-06-26,973.52,-33.10%
2002-06-27,990.63,-31.92%
2002-06-28,989.6,-31.99%
2002-07-01,968.65,-33.43%
2002-07-02,948.07,-34.85%
2002-07-03,953.96,-34.44%
2002-07-05,989.03,-32.03%
2002-07-08,976.98,-32.86%
2002-07-09,952.83,-34.52%
2002-07-10,920.47,-36.74%
2002-07-11,927.38,-36.27%
2002-07-12,921.4,-36.68%
2002-07-15,917.86,-36.92%
2002-07-16,900.95,-38.09%
2002-07-17,906,-37.74%
2002-07-18,881.55,-39.42%
2002-07-19,847.5,-41.76%
2002-07-22,819.84,-43.66%
2002-07-23,799.79,-45.04%
2002-07-24,843.39,-42.04%
2002-07-25,838.67,-42.37%
2002-07-26,852.83,-41.39%
2002-07-29,898.96,-38.22%
2002-07-30,902.78,-37.96%
2002-07-31,911.61,-37.35%
2002-08-01,884.59,-39.21%
2002-08-02,864.24,-40.61%
2002-08-05,834.6,-42.65%
2002-08-06,859.57,-40.93%
2002-08-07,876.78,-39.75%
2002-08-08,905.44,-37.78%
2002-08-09,908.6,-37.56%
2002-08-12,903.78,-37.89%
2002-08-13,884.21,-39.24%
2002-08-14,919.63,-36.80%
2002-08-15,930.26,-36.07%
2002-08-16,928.76,-36.18%
2002-08-19,950.75,-34.66%
2002-08-20,937.43,-35.58%
2002-08-21,949.34,-34.76%
2002-08-22,962.7,-33.84%
2002-08-23,940.87,-35.34%
2002-08-26,947.95,-34.86%
2002-08-27,934.83,-35.76%
2002-08-28,917.87,-36.92%
2002-08-29,917.8,-36.93%
2002-08-30,916.07,-37.05%
2002-09-03,878.02,-39.66%
2002-09-04,893.33,-38.61%
2002-09-05,879.16,-39.58%
2002-09-06,893.91,-38.57%
2002-09-09,902.95,-37.95%
2002-09-10,909.58,-37.49%
2002-09-11,909.45,-37.50%
2002-09-12,886.94,-39.05%
2002-09-13,889.79,-38.85%
2002-09-16,891.12,-38.76%
2002-09-17,873.51,-39.97%
2002-09-18,869.48,-40.25%
2002-09-19,843.32,-42.05%
2002-09-20,845.39,-41.90%
2002-09-23,833.7,-42.71%
2002-09-24,819.23,-43.70%
2002-09-25,839.63,-42.30%
2002-09-26,854.94,-41.25%
2002-09-27,827.36,-43.14%
2002-09-30,815.24,-43.98%
2002-10-01,847.9,-41.73%
2002-10-02,827.92,-43.10%
2002-10-03,819,-43.72%
2002-10-04,800.62,-44.98%
2002-10-07,785.28,-46.04%
2002-10-08,798.48,-45.13%
2002-10-09,776.77,-46.62%
2002-10-10,803.94,-44.75%
2002-10-11,835.32,-42.60%
2002-10-14,841.44,-42.18%
2002-10-15,881.21,-39.44%
2002-10-16,859.96,-40.90%
2002-10-17,879.19,-39.58%
2002-10-18,884.38,-39.22%
2002-10-21,899.72,-38.17%
2002-10-22,890.16,-38.83%
2002-10-23,896.14,-38.42%
2002-10-24,882.53,-39.35%
2002-10-25,897.65,-38.31%
2002-10-28,890.21,-38.82%
2002-10-29,882.15,-39.38%
2002-10-30,890.69,-38.79%
2002-10-31,885.79,-39.13%
2002-11-01,900.96,-38.09%
2002-11-04,908.35,-37.58%
2002-11-05,915.4,-37.09%
2002-11-06,923.76,-36.52%
2002-11-07,902.68,-37.97%
2002-11-08,894.73,-38.51%
2002-11-11,876.23,-39.79%
2002-11-12,882.95,-39.32%
2002-11-13,882.53,-39.35%
2002-11-14,904.27,-37.86%
2002-11-15,909.74,-37.48%
2002-11-18,900.38,-38.13%
2002-11-19,896.75,-38.37%
2002-11-20,914.15,-37.18%
2002-11-21,933.79,-35.83%
2002-11-22,930.55,-36.05%
2002-11-25,932.89,-35.89%
2002-11-26,913.28,-37.24%
2002-11-27,938.98,-35.47%
2002-11-29,936.31,-35.66%
2002-12-02,934.53,-35.78%
2002-12-03,920.75,-36.73%
2002-12-04,917.58,-36.94%
2002-12-05,906.55,-37.70%
2002-12-06,912.23,-37.31%
2002-12-09,892,-38.70%
2002-12-10,904.45,-37.85%
2002-12-11,904.96,-37.81%
2002-12-12,901.58,-38.04%
2002-12-13,889.48,-38.87%
2002-12-16,910.4,-37.44%
2002-12-17,902.99,-37.95%
2002-12-18,891.12,-38.76%
2002-12-19,884.25,-39.23%
2002-12-20,895.76,-38.44%
2002-12-23,897.38,-38.33%
2002-12-24,892.47,-38.67%
2002-12-26,889.66,-38.86%
2002-12-27,875.4,-39.84%
2002-12-30,879.39,-39.57%
2002-12-31,879.82,-39.54%
2003-01-02,909.03,-37.53%
2003-01-03,908.59,-37.56%
2003-01-06,929.01,-36.16%
2003-01-07,922.93,-36.58%
2003-01-08,909.93,-37.47%
2003-01-09,927.57,-36.26%
2003-01-10,927.57,-36.26%
2003-01-13,926.26,-36.35%
2003-01-14,931.66,-35.98%
2003-01-15,918.22,-36.90%
2003-01-16,914.6,-37.15%
2003-01-17,901.78,-38.03%
2003-01-21,887.62,-39.00%
2003-01-22,878.36,-39.64%
2003-01-23,887.34,-39.02%
2003-01-24,861.4,-40.80%
2003-01-27,847.48,-41.76%
2003-01-28,858.54,-41.00%
2003-01-29,864.36,-40.60%
2003-01-30,844.61,-41.96%
2003-01-31,855.7,-41.20%
2003-02-03,860.32,-40.88%
2003-02-04,848.2,-41.71%
2003-02-05,843.59,-42.03%
2003-02-06,838.15,-42.40%
2003-02-07,829.69,-42.98%
2003-02-10,835.97,-42.55%
2003-02-11,829.2,-43.02%
2003-02-12,818.68,-43.74%
2003-02-13,817.37,-43.83%
2003-02-14,834.89,-42.63%
2003-02-18,851.17,-41.51%
2003-02-19,845.13,-41.92%
2003-02-20,837.1,-42.47%
2003-02-21,848.17,-41.71%
2003-02-24,832.58,-42.78%
2003-02-25,838.57,-42.37%
2003-02-26,827.55,-43.13%
2003-02-27,837.28,-42.46%
